,sym1,sym2,pValue,tValue,cValue,hedgeRatio,zeroCrossings
357,CHRUSDT,CTCUSDT,0.0,-4.73,-3.37,0.3,62
301,BITUSDT,ILVUSDT,0.0,-5.07,-3.37,0.01,58
1278,SLPUSDT,OCEANUSDT,0.03,-3.48,-3.37,0.02,55
329,CHRUSDT,1000BTTUSDT,0.01,-3.81,-3.37,163.72,53
802,KLAYUSDT,GLMRUSDT,0.01,-3.81,-3.37,0.49,49
1261,SLPUSDT,FTMUSDT,0.01,-3.83,-3.37,0.01,49
1457,XTZUSDT,CTCUSDT,0.0,-4.79,-3.37,2.68,48
848,LINAUSDT,BSWUSDT,0.0,-4.28,-3.37,0.03,48
1433,WAVESUSDT,ICPUSDT,0.03,-3.5,-3.37,0.59,48
811,KLAYUSDT,SOLUSDT,0.01,-4.09,-3.37,0.01,46
1187,SANDUSDT,BICOUSDT,0.0,-4.34,-3.37,1.97,46
685,FTMUSDT,1000BTTUSDT,0.0,-4.52,-3.37,265.17,46
283,AVAXUSDT,CTCUSDT,0.04,-3.42,-3.37,33.8,46
800,KLAYUSDT,BOBAUSDT,0.0,-4.87,-3.37,0.82,46
1254,SLPUSDT,CTCUSDT,0.0,-4.11,-3.37,0.01,46
794,IOTXUSDT,1000BTTUSDT,0.01,-3.92,-3.37,35.29,46
1008,LUNA2USDT,AKROUSDT,0.0,-4.31,-3.37,575.69,45
1044,NEOUSDT,AUDIOUSDT,0.0,-4.39,-3.37,45.4,45
1252,SLPUSDT,COMPUSDT,0.04,-3.43,-3.37,0.0,45
18,1000LUNCUSDT,AKROUSDT,0.0,-5.31,-3.37,59.19,45
580,DUSKUSDT,ILVUSDT,0.0,-5.09,-3.37,0.0,45
1147,REEFUSDT,BOBAUSDT,0.0,-5.31,-3.37,0.01,44
304,BITUSDT,KDAUSDT,0.04,-3.4,-3.37,0.34,44
1215,SKLUSDT,CTCUSDT,0.03,-3.48,-3.37,0.07,44
682,FLOWUSDT,CTCUSDT,0.0,-4.67,-3.37,3.18,44
1270,SLPUSDT,LINAUSDT,0.01,-3.86,-3.37,0.43,43
1267,SLPUSDT,IOSTUSDT,0.0,-4.56,-3.37,0.3,43
1240,SLPUSDT,AVAXUSDT,0.03,-3.49,-3.37,0.0,43
211,API3USDT,ADAUSDT,0.03,-3.51,-3.37,4.41,42
1234,SLPUSDT,1000BTTUSDT,0.02,-3.72,-3.37,3.73,42
1272,SLPUSDT,LITUSDT,0.03,-3.59,-3.37,0.0,42
146,AGLDUSDT,CTCUSDT,0.0,-4.34,-3.37,0.68,42
577,DUSKUSDT,GALAUSDT,0.03,-3.51,-3.37,3.35,42
750,GLMRUSDT,BOBAUSDT,0.0,-5.6,-3.37,1.67,42
801,KLAYUSDT,CTCUSDT,0.0,-5.23,-3.37,0.46,42
1259,SLPUSDT,DOTUSDT,0.01,-3.98,-3.37,0.0,42
1290,SXPUSDT,BOBAUSDT,0.0,-5.67,-3.37,1.11,41
140,AGLDUSDT,BICOUSDT,0.0,-4.48,-3.37,0.87,41
1276,SLPUSDT,MINAUSDT,0.01,-3.79,-3.37,0.0,41
551,DGBUSDT,1000BTTUSDT,0.01,-3.99,-3.37,10.33,40
326,CELUSDT,ALICEUSDT,0.0,-4.63,-3.37,0.4,40
1171,RVNUSDT,ADAUSDT,0.02,-3.72,-3.37,0.07,40
1256,SLPUSDT,DARUSDT,0.01,-3.88,-3.37,0.02,40
1082,OMGUSDT,XNOUSDT,0.01,-3.95,-3.37,1.9,40
1475,XTZUSDT,SOLUSDT,0.04,-3.44,-3.37,0.08,40
1296,THETAUSDT,CELUSDT,0.0,-4.71,-3.37,1.84,40
715,GALAUSDT,CTCUSDT,0.0,-4.41,-3.37,0.07,40
1027,MANAUSDT,AKROUSDT,0.03,-3.58,-3.37,143.67,39
1033,MANAUSDT,BOBAUSDT,0.0,-4.6,-3.37,1.9,39
725,GALUSDT,BOBAUSDT,0.0,-5.49,-3.37,6.6,39
49,1000XECUSDT,SCUSDT,0.05,-3.37,-3.37,11.62,39
643,ENJUSDT,TLMUSDT,0.03,-3.53,-3.37,19.87,39
1472,XTZUSDT,RNDRUSDT,0.0,-4.62,-3.37,2.23,39
585,DUSKUSDT,SCUSDT,0.04,-3.42,-3.37,34.6,39
1461,XTZUSDT,GLMRUSDT,0.0,-4.24,-3.37,2.89,39
697,FTMUSDT,IOTXUSDT,0.03,-3.49,-3.37,7.51,39
1069,OCEANUSDT,BOBAUSDT,0.0,-4.64,-3.37,0.61,39
712,GALAUSDT,BOBAUSDT,0.0,-5.33,-3.37,0.13,39
583,DUSKUSDT,RNDRUSDT,0.0,-4.58,-3.37,0.2,39
1236,SLPUSDT,ADAUSDT,0.0,-4.14,-3.37,0.01,38
320,BTCUSDT,STXUSDT,0.02,-3.6,-3.37,73436.04,38
954,LRCUSDT,CTCUSDT,0.0,-4.46,-3.37,0.65,38
228,API3USDT,CTCUSDT,0.02,-3.74,-3.37,3.87,38
1251,SLPUSDT,CELUSDT,0.02,-3.76,-3.37,0.01,38
763,GRTUSDT,BOBAUSDT,0.0,-5.57,-3.37,0.28,38
1081,OMGUSDT,SLPUSDT,0.02,-3.64,-3.37,451.72,38
236,API3USDT,FILUSDT,0.01,-3.78,-3.37,0.33,37
961,LRCUSDT,FLOWUSDT,0.01,-4.05,-3.37,0.2,37
581,DUSKUSDT,KNCUSDT,0.0,-4.75,-3.37,0.15,37
982,LRCUSDT,RNDRUSDT,0.0,-4.79,-3.37,0.54,37
333,CHRUSDT,ADAUSDT,0.01,-3.77,-3.37,0.34,37
286,AVAXUSDT,MINAUSDT,0.0,-5.14,-3.37,22.82,37
695,FTMUSDT,ICPUSDT,0.02,-3.61,-3.37,0.05,37
847,LINAUSDT,BOBAUSDT,0.0,-4.52,-3.37,0.03,37
680,FLOWUSDT,CELUSDT,0.0,-4.53,-3.37,2.48,37
622,ENJUSDT,CELUSDT,0.0,-4.26,-3.37,0.63,37
1070,OCEANUSDT,BSWUSDT,0.01,-3.86,-3.37,0.61,36
25,1000LUNCUSDT,BOBAUSDT,0.03,-3.5,-3.37,0.78,36
1258,SLPUSDT,DENTUSDT,0.04,-3.46,-3.37,3.72,36
1245,SLPUSDT,BICOUSDT,0.04,-3.41,-3.37,0.01,36
573,DUSKUSDT,BOBAUSDT,0.0,-5.17,-3.37,0.43,36
234,API3USDT,DGBUSDT,0.02,-3.7,-3.37,205.75,36
872,LOOKSUSDT,CELUSDT,0.03,-3.49,-3.37,0.27,35
434,COMPUSDT,DOTUSDT,0.0,-4.45,-3.37,7.1,35
619,ENJUSDT,BOBAUSDT,0.0,-4.34,-3.37,1.46,35
751,GLMRUSDT,BSWUSDT,0.0,-4.5,-3.37,1.67,35
991,LRCUSDT,STXUSDT,0.02,-3.61,-3.37,1.05,35
97,ACHUSDT,CTCUSDT,0.0,-4.97,-3.37,0.03,35
391,CHRUSDT,SCUSDT,0.01,-4.05,-3.37,43.44,35
983,LRCUSDT,RSRUSDT,0.0,-4.27,-3.37,61.35,35
322,CEEKUSDT,1000XECUSDT,0.04,-3.46,-3.37,3.37,35
42,1000XECUSDT,BOBAUSDT,0.01,-3.98,-3.37,0.14,35
1454,XTZUSDT,BOBAUSDT,0.0,-5.27,-3.37,4.82,35
30,1000LUNCUSDT,HOTUSDT,0.0,-5.15,-3.37,104.88,35
963,LRCUSDT,GLMRUSDT,0.0,-4.18,-3.37,0.7,35
1499,YGGUSDT,BOBAUSDT,0.0,-4.24,-3.37,1.06,35
1166,RSRUSDT,BOBAUSDT,0.0,-5.77,-3.37,0.02,35
298,BITUSDT,BOBAUSDT,0.0,-5.24,-3.37,1.42,34
793,IOSTUSDT,CELUSDT,0.02,-3.65,-3.37,0.02,34
640,ENJUSDT,STXUSDT,0.0,-4.49,-3.37,1.31,34
638,ENJUSDT,SHIB1000USDT,0.01,-4.0,-3.37,33.46,34
575,DUSKUSDT,CTCUSDT,0.0,-4.55,-3.37,0.24,34
431,COMPUSDT,CTCUSDT,0.01,-4.03,-3.37,105.87,34
563,DODOUSDT,ICXUSDT,0.01,-3.82,-3.37,0.72,34
246,API3USDT,LITUSDT,0.0,-4.7,-3.37,2.08,34
587,DUSKUSDT,SOLUSDT,0.02,-3.71,-3.37,0.01,34
1148,REEFUSDT,BSWUSDT,0.0,-4.58,-3.37,0.01,34
1413,USDCUSDT,1000BTTUSDT,0.0,-13.3,-3.37,1554.97,34
33,1000LUNCUSDT,SCUSDT,0.0,-4.24,-3.37,63.64,34
124,ADAUSDT,1000XECUSDT,0.0,-8.63,-3.37,11.01,33
666,FLOWUSDT,AKROUSDT,0.04,-3.4,-3.37,431.55,33
1001,LRCUSDT,XNOUSDT,0.04,-3.39,-3.37,0.4,33
747,GLMRUSDT,BICOUSDT,0.01,-3.92,-3.37,1.2,33
1260,SLPUSDT,ENJUSDT,0.04,-3.38,-3.37,0.01,33
808,KLAYUSDT,RNDRUSDT,0.0,-4.67,-3.37,0.38,33
916,LOOKSUSDT,SUSHIUSDT,0.03,-3.58,-3.37,0.11,33
148,AGLDUSDT,DARUSDT,0.0,-4.17,-3.37,1.9,33
217,API3USDT,AUDIOUSDT,0.0,-4.56,-3.37,9.65,33
826,KNCUSDT,BOBAUSDT,0.0,-5.45,-3.37,2.86,33
1484,XTZUSDT,XNOUSDT,0.02,-3.69,-3.37,1.67,33
1054,NEOUSDT,FLMUSDT,0.04,-3.39,-3.37,85.36,33
1167,RSRUSDT,CELUSDT,0.05,-3.37,-3.37,0.01,33
1425,VETUSDT,BOBAUSDT,0.01,-4.07,-3.37,0.09,33
867,LOOKSUSDT,BOBAUSDT,0.0,-4.63,-3.37,0.62,33
1076,OMGUSDT,BOBAUSDT,0.03,-3.53,-3.37,5.51,33
740,GLMRUSDT,AVAXUSDT,0.03,-3.53,-3.37,0.03,33
1083,ONEUSDT,AUDIOUSDT,0.01,-3.95,-3.37,0.09,33
957,LRCUSDT,DOTUSDT,0.0,-5.36,-3.37,0.04,33
321,C98USDT,INJUSDT,0.01,-3.82,-3.37,0.15,32
1444,XLMUSDT,ALICEUSDT,0.0,-4.54,-3.37,0.08,32
